City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
98,Kungurtug,RU,50.5994,97.5228,9.28,90,99,1.88,overcast clouds
99,Freetown,SL,8.484,-13.2299,82.11,78,75,4.61,broken clouds
100,Port Pirie,AU,-33.1833,138.0167,64.49,47,91,11.7,light rain
101,Champerico,GT,14.3,-91.9167,90.14,70,6,5.48,clear sky
102,Dingle,PH,10.9995,122.6711,75.54,95,99,6.73,light rain
103,Dobson,US,36.3957,-80.7226,69.48,96,100,11.5,moderate rain
104,Narsaq,GL,60.9167,-46.05,23.22,95,100,3.49,overcast clouds
105,Kincardine,GB,56.0667,-3.7167,57.18,88,32,9.35,scattered clouds
106,Iqaluit,CA,63.7506,-68.5145,4.73,84,75,4.0,light snow
107,Almaznyy,RU,48.0448,40.045,38.25,88,30,0.89,scattered clouds
108,Dalvik,IS,65.9702,-18.5286,37.33,98,100,3.11,overcast clouds
109,Kosh-Agach,RU,50.0,88.6667,9.45,73,35,1.63,scattered clouds
110,Butaritari,KI,3.0707,172.7902,81.45,76,67,13.8,broken clouds
111,Nikolskoye,RU,59.7035,30.7861,51.69,90,100,10.98,overcast clouds
112,Coahuayana,MX,18.7333,-103.6833,84.15,67,20,6.26,few clouds
113,Zion,US,42.4461,-87.8328,43.12,56,0,16.11,clear sky
114,Ambilobe,MG,-13.2,49.05,71.4,80,29,2.62,scattered clouds
115,Hwange,ZW,-18.3693,26.5019,73.08,69,52,3.94,broken clouds
116,Severo-Kurilsk,RU,50.6789,156.125,34.36,62,96,28.72,overcast clouds
117,Hobart,AU,-42.8794,147.3294,54.27,74,98,1.99,overcast clouds
118,Tiksi,RU,71.6872,128.8694,-13.85,99,94,6.85,overcast clouds
119,Rio Grande,BR,-32.035,-52.0986,71.71,84,44,13.09,scattered clouds
120,Adrar,MR,20.5022,-10.0711,75.78,11,100,9.17,overcast clouds
121,Ihosy,MG,-22.4,46.1167,67.12,88,69,6.2,broken clouds
122,Husavik,IS,66.0449,-17.3389,37.72,97,100,4.36,overcast clouds
123,Sola,VU,-13.8833,167.55,75.87,94,100,1.14,heavy intensity rain
124,Shatsk,RU,54.0258,41.7119,41.65,91,100,13.33,overcast clouds
125,Inhambane,MZ,-23.865,35.3833,75.76,86,23,6.13,few clouds
126,Hervey Bay,AU,-25.2986,152.8535,71.87,64,3,7.49,clear sky
127,Fillmore,US,43.6666,-92.1002,28.89,74,100,12.66,overcast clouds
128,Tukrah,LY,32.5341,20.5791,64.36,68,4,9.46,clear sky
129,Ancud,CL,-41.8697,-73.8203,53.02,96,100,3.67,light rain
130,Cabo San Lucas,MX,22.8909,-109.9124,84.61,61,20,6.91,few clouds
131,Morondava,MG,-20.2833,44.2833,78.71,65,96,1.72,overcast clouds
132,East London,ZA,-33.0153,27.9116,70.43,91,100,21.92,overcast clouds
133,Torbay,CA,47.6666,-52.7314,39.76,89,75,9.22,broken clouds
134,Dzerzhinskoye,RU,56.8344,95.2283,28.94,81,94,8.97,overcast clouds
135,Zyryanka,RU,65.75,150.85,-29.97,100,97,2.89,overcast clouds
136,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,88,75,11.5,broken clouds
137,Port Blair,IN,11.6667,92.75,78.71,81,97,7.96,overcast clouds
138,Stokmarknes,NO,68.5646,14.9108,46.38,81,75,14.97,light intensity shower rain
139,Deputatskiy,RU,69.3,139.9,-15.38,98,95,2.77,overcast clouds
140,Hithadhoo,MV,-0.6,73.0833,80.94,79,100,14.7,overcast clouds
141,Khatanga,RU,71.9667,102.5,-27.65,99,74,8.59,broken clouds
142,Humaita,BR,-7.5061,-63.0208,82.33,70,100,4.16,moderate rain
143,San Pedro,PH,14.35,121.0167,79.83,88,20,2.3,few clouds
144,Shumskiy,RU,54.8318,99.1328,24.28,78,100,3.4,overcast clouds
145,Skibbereen,IE,51.55,-9.2667,56.03,99,100,7.56,overcast clouds
146,Geraldton,AU,-28.7667,114.6,48.61,81,2,9.22,clear sky
147,Thinadhoo,MV,0.5333,72.9333,81.25,77,100,15.26,overcast clouds
148,Sitka,US,57.0531,-135.33,42.69,81,75,6.91,light rain
149,Victoria,HK,22.2855,114.1577,75.38,88,10,4.0,clear sky
150,Angoche,MZ,-16.2325,39.9086,76.78,86,0,7.47,clear sky
151,Tromso,NO,69.6496,18.957,35.62,87,75,2.3,light intensity shower rain
152,Wadena,US,46.4425,-95.1361,26.35,80,100,9.22,overcast clouds
153,Vaini,TO,-21.2,-175.2,82.56,83,20,5.75,few clouds
154,Busselton,AU,-33.65,115.3333,52.74,76,83,9.46,broken clouds
155,Alyangula,AU,-13.8483,136.4192,84.54,70,14,10.6,few clouds
156,Parchim,DE,53.4263,11.8488,45.09,73,52,8.05,broken clouds
157,Natal,BR,-5.795,-35.2094,81.25,73,20,14.97,few clouds
158,Ribeira Grande,PT,38.5167,-28.7,59.4,77,40,9.22,scattered clouds
159,Gorin,RU,51.1983,136.6669,23.72,93,84,2.8,broken clouds
160,Verkhoyansk,RU,67.5447,133.385,-17.48,100,99,1.68,overcast clouds
161,Porosozero,RU,62.7191,32.727,42.85,86,17,13.56,few clouds
162,Thompson,CA,55.7435,-97.8558,3.36,78,20,4.61,few clouds
163,Phangnga,TH,8.4509,98.5298,77.04,95,100,3.24,overcast clouds
164,Laguna,US,38.421,-121.4238,62.64,49,0,6.91,clear sky
165,Kibala,TD,9.1104,18.3463,73.35,78,0,0.0,clear sky
166,Brae,GB,60.3964,-1.353,52.92,83,85,24.47,overcast clouds
167,Saint Anthony,US,45.0205,-93.218,32.02,77,100,16.11,overcast clouds
168,Manitowoc,US,44.0667,-87.8001,33.69,69,75,19.57,broken clouds
169,Bubaque,GW,11.2833,-15.8333,83.52,61,98,8.95,overcast clouds
170,Krasnoselkup,RU,65.7,82.4667,-14.51,95,36,5.95,scattered clouds
171,Saint-Leu,RE,-21.15,55.2833,72.46,84,29,9.44,scattered clouds
172,Tuatapere,NZ,-46.1333,167.6833,58.05,76,100,4.41,overcast clouds
173,Summerside,CA,46.3959,-63.7876,48.54,93,100,9.22,overcast clouds
174,Loreto,MX,22.2667,-101.9667,78.33,13,17,9.78,few clouds
175,Pestravka,RU,52.405,49.9583,40.3,80,100,15.17,overcast clouds
176,Kalmar,SE,56.6616,16.3616,58.14,81,43,17.27,scattered clouds
177,Sumbuya,SL,7.6467,-11.9611,74.41,92,18,2.46,few clouds
178,Cotonou,BJ,6.3654,2.4183,82.38,78,40,9.22,scattered clouds
179,Touros,BR,-5.1989,-35.4608,78.96,73,8,13.65,clear sky
180,Santiago,CL,-33.4569,-70.6483,66.33,54,100,11.5,overcast clouds
181,Itarema,BR,-2.9248,-39.9167,79.41,75,79,16.98,broken clouds
182,Korla,CN,41.7597,86.1469,34.2,56,10,1.88,clear sky
183,Birjand,IR,32.8663,59.2211,55.87,30,0,6.91,clear sky
184,Wagar,SD,16.1525,36.2032,81.34,54,8,12.68,clear sky
185,Sao Felipe,BR,-14.8167,-41.3833,76.21,71,74,4.74,broken clouds
186,Istria,RO,44.5667,28.7167,50.97,80,96,10.89,overcast clouds
187,Dillon,US,34.4166,-79.3712,78.82,81,35,18.21,scattered clouds
188,Labuhan,ID,-6.8844,112.2051,79.05,83,100,5.3,moderate rain
