City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
252,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
258,Hobyo,SO,80.65,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
261,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
267,Mazagao,BR,87.85,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
271,Jeremoabo,BR,78.69,overcast clouds,-10.075,-38.4808,
273,Koumac,NC,77.7,overcast clouds,-20.5667,164.2833,Le Monitel
274,Cururupu,BR,76.66,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
276,Sao Joao Da Barra,BR,78.89,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
282,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
283,Pochutla,MX,84.02,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
285,Ranong,TH,76.87,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
287,San Policarpo,PH,81.57,broken clouds,12.1791,125.5072,Agapita M. Nicart
297,Baculin,PH,79.11,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
300,Tautira,PF,77.79,broken clouds,-17.7333,-149.15,Pension Oaoa
304,Bowen,AU,77.49,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
311,Mogadishu,SO,78.17,broken clouds,2.0371,45.3438,Hotel Juba
312,Tual,ID,82.94,broken clouds,-5.6667,132.75,Grand Vilia Hotel
315,Tucurui,BR,83.37,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
316,Nishihara,JP,77.05,broken clouds,26.1842,127.7558,Minshuku Agaihama
317,Ciudad Bolivar,VE,81.41,broken clouds,8.1222,-63.5497,Hotel Edi
320,Las Matas De Farfan,DO,77.47,light rain,18.8731,-71.5166,Breathless Resort
321,Taoudenni,ML,78.76,overcast clouds,22.6783,-3.9836,
324,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
325,Panaba,MX,78.85,broken clouds,21.2833,-88.2667,Hotel Don Fernando
328,Greenville,US,78.96,broken clouds,35.6127,-77.3663,"Holiday Inn Express Greenville, an IHG Hotel"
330,Carauari,BR,77.25,moderate rain,-4.8828,-66.8958,Hotel Fellip
331,Omboue,GA,76.21,light rain,-1.5746,9.2618,Hotel Olako
335,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Pousada Camboinha
339,Mackay,AU,76.68,clear sky,-21.15,149.2,International Lodge Motel
343,Pemangkat,ID,77.11,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
354,Noumea,NC,79.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
364,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
369,El Cristo,PA,76.87,moderate rain,8.25,-80.6167,cocobó abajo
372,Boa Vista,BR,85.98,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
373,Nicoya,CR,77.99,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
375,Itaqui,BR,76.46,scattered clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
377,Biak,ID,77.59,overcast clouds,-0.9131,122.8766,Penginapan Kim
380,Mangaratiba,BR,76.06,overcast clouds,-22.9597,-44.0406,Portobello Resort & Safari
381,Tsaratanana,MG,76.82,clear sky,-16.7833,47.65,
382,San,ML,81.37,clear sky,13.3034,-4.8956,Hôtel Teriya
386,Aitape,PG,79.63,overcast clouds,-3.1374,142.3475,
387,Poum,NC,76.37,broken clouds,-20.2333,164.0167,
392,Manokwari,ID,77.07,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
393,Dwarka,IN,79.48,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
394,Kupang,ID,80.49,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
397,Sao Filipe,CV,77.63,broken clouds,14.8961,-24.4956,Hotel Xaguate
398,Finschhafen,PG,83.52,overcast clouds,-6.6024,147.8681,Oasis Gagidu Ltd
401,Ewa Beach,US,80.55,overcast clouds,21.3156,-158.0072,Base Lodging
404,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
