City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,Guerrero Negro,27.9769,-114.0611,65.75,75,52,11.07,MX,2022-11-08 02:38:36
135,Vikramasingapuram,8.714,77.3893,77.67,83,97,2.71,IN,2022-11-08 02:41:05
136,Tuam,53.5167,-8.85,43.23,92,60,11.34,IE,2022-11-08 02:42:05
137,Souillac,-20.5167,57.5167,73.78,78,40,5.75,MU,2022-11-08 02:35:03
138,Dingle,10.9995,122.6711,85.71,75,97,8.72,PH,2022-11-08 02:42:06
139,Healdsburg,38.6105,-122.8692,49.05,86,100,4.61,US,2022-11-08 02:41:52
140,Russell,32.3502,-85.1999,74.8,94,0,0.0,US,2022-11-08 02:36:17
141,Khandyga,62.6667,135.6,-9.17,91,97,3.44,RU,2022-11-08 02:42:06
142,Constitucion,-35.3333,-72.4167,55.24,77,99,8.32,CL,2022-11-08 02:42:07
143,Coquimbo,-29.9533,-71.3436,56.93,94,100,3.44,CL,2022-11-08 02:42:07
144,Avarua,-21.2078,-159.775,75.25,69,75,6.91,CK,2022-11-08 02:42:07
145,Hobart,-42.8794,147.3294,82.22,52,20,10.36,AU,2022-11-08 02:42:08
146,Alofi,-19.0595,-169.9187,78.69,69,75,13.8,NU,2022-11-08 02:42:08
147,Alihe,50.5667,123.7167,34.65,53,10,1.9,CN,2022-11-08 02:42:09
148,Abu Dhabi,24.4667,54.3667,77.02,72,0,4.61,AE,2022-11-08 02:42:09
149,Xuddur,4.1213,43.8894,70.09,92,54,7.43,SO,2022-11-08 02:42:09
150,Sangar,63.9242,127.4739,-6.79,89,100,5.75,RU,2022-11-08 02:42:10
151,Huacho,-11.1067,-77.605,64.49,82,12,7.4,PE,2022-11-08 02:42:10
152,Warri,5.5167,5.75,76.59,90,98,1.81,NG,2022-11-08 02:38:10
153,Kota Kinabalu,5.9749,116.0724,85.98,79,20,3.44,MY,2022-11-08 02:42:10
154,Churapcha,62.0025,132.4325,-3.5,88,100,0.98,RU,2022-11-08 02:42:11
155,Soyo,-6.1349,12.3689,77.61,85,94,7.05,AO,2022-11-08 02:42:11
156,Xai-Xai,-25.0519,33.6442,71.19,96,100,6.24,MZ,2022-11-08 02:42:11
157,Ottawa,45.4112,-75.6981,45.99,57,20,14.97,CA,2022-11-08 02:41:54
158,Port Elizabeth,-33.918,25.5701,62.31,90,0,16.11,ZA,2022-11-08 02:42:12
159,Gold Coast,-28.0,153.4333,75.24,81,100,2.3,AU,2022-11-08 02:42:12
160,Vestmannaeyjar,63.4427,-20.2734,44.62,86,100,20.0,IS,2022-11-08 02:42:12
161,Guapi,2.5708,-77.8854,74.84,88,99,2.46,CO,2022-11-08 02:42:13
162,Boyuibe,-20.4167,-63.2833,72.93,33,100,1.28,BO,2022-11-08 02:42:13
163,Cajamarca,-7.1638,-78.5003,54.41,87,48,1.14,PE,2022-11-08 02:42:13
164,Mackay,-21.15,149.2,84.69,59,1,14.97,AU,2022-11-08 02:36:17
165,Kahului,20.8947,-156.47,84.22,65,40,24.16,US,2022-11-08 02:37:27
166,Ahipara,-35.1667,173.1667,62.29,86,96,14.56,NZ,2022-11-08 02:41:15
167,Verkhnyaya Toyma,62.2349,44.9985,35.82,97,100,6.55,RU,2022-11-08 02:42:14
168,Berlevag,70.8578,29.0864,32.0,93,75,9.22,NO,2022-11-08 02:32:38
169,Boa Vista,2.8197,-60.6733,78.78,83,40,3.44,BR,2022-11-08 02:42:14
170,Umm Lajj,25.0213,37.2685,72.99,59,0,8.48,SA,2022-11-08 02:42:15
171,Visnes,59.3556,5.2242,52.21,93,100,14.97,NO,2022-11-08 02:42:15
172,Tabou,4.423,-7.3528,78.04,84,90,5.55,CI,2022-11-08 02:42:15
173,Vardo,70.3705,31.1107,37.38,81,100,4.61,NO,2022-11-08 02:33:53
174,Georgetown,5.4112,100.3354,84.88,77,20,5.01,MY,2022-11-08 02:33:51
175,Fortuna,40.5982,-124.1573,44.94,94,98,3.0,US,2022-11-08 02:42:16
176,Daru,-9.0763,143.2092,79.95,83,100,0.94,PG,2022-11-08 02:42:16
177,Kashi,39.4547,75.9797,42.01,65,92,2.24,CN,2022-11-08 02:42:17
178,Batagay-Alyta,67.8006,130.4114,1.29,85,100,1.95,RU,2022-11-08 02:42:17
179,Morehead,37.2711,-87.1764,64.15,39,100,5.75,US,2022-11-08 02:37:46
180,Lavrentiya,65.5833,-171.0,27.84,96,100,22.21,RU,2022-11-08 02:42:17
181,Anamur,36.0751,32.8369,63.16,66,23,4.03,TR,2022-11-08 02:42:18
182,Homer,59.6425,-151.5483,38.8,80,100,11.01,US,2022-11-08 02:43:18
183,Port Moresby,-9.4431,147.1797,89.02,62,40,13.8,PG,2022-11-08 02:43:18
184,Kaitangata,-46.2817,169.8464,58.96,69,100,6.22,NZ,2022-11-08 02:43:19
185,Andapa,-14.65,49.65,62.8,91,33,1.83,MG,2022-11-08 02:43:19
186,Richards Bay,-28.783,32.0377,70.41,95,97,4.72,ZA,2022-11-08 02:43:19
187,Khatanga,71.9667,102.5,7.27,96,100,3.27,RU,2022-11-08 02:43:20
188,Saverne,48.8333,7.25,46.71,86,100,4.92,FR,2022-11-08 02:43:20
189,Coffs Harbour,-30.3,153.1333,69.76,64,75,8.05,AU,2022-11-08 02:40:39
190,Minab,27.1467,57.0801,77.32,69,15,4.61,IR,2022-11-08 02:43:21
191,Honiara,-9.4333,159.95,85.15,74,40,7.47,SB,2022-11-08 02:43:21
192,Birao,10.2849,22.7882,77.13,28,93,2.42,CF,2022-11-08 02:43:21
193,Port-Cartier,50.0334,-66.8654,41.11,59,38,18.07,CA,2022-11-08 02:43:22
194,Hofn,64.2539,-15.2082,43.29,92,100,24.72,IS,2022-11-08 02:43:22
195,Monterey,36.2505,-121.2516,41.18,60,10,3.87,US,2022-11-08 02:43:22
196,Sur,22.5667,59.5289,81.34,57,96,6.15,OM,2022-11-08 02:43:23
197,Pangnirtung,66.1451,-65.7125,5.65,61,64,6.08,CA,2022-11-08 02:43:23
198,Mega,4.05,38.3,58.21,80,100,5.28,ET,2022-11-08 02:43:23
199,Marshall,34.3834,-86.3333,70.93,85,0,3.44,US,2022-11-08 02:43:24
200,Tiksi,71.6872,128.8694,0.55,91,100,17.22,RU,2022-11-08 02:43:24
201,Lompoc,34.6391,-120.4579,54.01,92,0,3.44,US,2022-11-08 02:43:24
202,Nicoya,10.1483,-85.452,73.96,94,100,1.34,CR,2022-11-08 02:43:25
203,Aklavik,68.2191,-135.0107,0.73,85,100,10.83,CA,2022-11-08 02:40:44
204,Cambridge,43.3601,-80.3127,41.14,68,75,5.75,CA,2022-11-08 02:40:04
205,Naron,43.5167,-8.1528,59.02,83,88,15.84,ES,2022-11-08 02:43:25
206,Maniitsoq,65.4167,-52.9,16.59,55,0,6.98,GL,2022-11-08 02:43:25
207,Batemans Bay,-35.7167,150.1833,70.11,56,0,13.58,AU,2022-11-08 02:32:30
208,Luan,46.3592,6.9759,41.38,78,100,5.95,CH,2022-11-08 02:43:26
209,Kavieng,-2.5744,150.7967,83.82,70,100,4.83,PG,2022-11-08 02:43:26
210,Venice,27.0998,-82.4543,74.98,76,23,3.0,US,2022-11-08 02:43:27
211,Touros,-5.1989,-35.4608,77.74,75,100,9.91,BR,2022-11-08 02:36:08
212,La Rioja,42.25,-2.5,37.18,77,99,8.34,ES,2022-11-08 02:43:27
213,Veraval,20.9,70.3667,78.22,58,0,10.18,IN,2022-11-08 02:43:27
214,Provideniya,64.3833,-173.3,32.36,86,100,18.01,RU,2022-11-08 02:43:28
215,Nabire,-3.3667,135.4833,86.99,66,85,5.59,ID,2022-11-08 02:43:28
216,Gravdal,68.1214,13.5031,41.83,73,11,16.46,NO,2022-11-08 02:43:28
217,Te Anau,-45.4167,167.7167,64.76,52,42,7.29,NZ,2022-11-08 02:43:29
218,Umbauba,-11.3833,-37.6578,73.24,83,88,5.55,BR,2022-11-08 02:43:29
219,Tautira,-17.7333,-149.15,76.42,83,24,10.92,PF,2022-11-08 02:43:29
